Token,DocuScope Category,Count,Document Count,Frequency (per mil. tokens),% of Documents
suspensions,ExpertVocabulary,159,89,0.89,0.21
labor movement,ExpertVocabulary,159,77,0.89,0.18
401,InformationQuantities,159,121,0.89,0.28
304,InformationQuantities,159,126,0.89,0.29
t-test,ExpertVocabulary,159,89,0.89,0.21
denser,InformationComparison,159,141,0.89,0.33
the variety of,InformationQuantities,159,149,0.89,0.35
claims to have,CitationControversy,159,149,0.89,0.35
he discovered,CitationAuthority,159,155,0.89,0.36
from birth,ExpertVocabulary,159,146,0.89,0.34
kuwaitis,CharacterTypes,159,56,0.89,0.13
ground troops,CharacterTypes,159,100,0.89,0.23
obvious reasons,Reasoning,159,155,0.89,0.36
isotopes,ExpertVocabulary,159,70,0.89,0.16
suffice it to say,ReaderDirectedMetadiscourseFP,159,153,0.89,0.36
scopes,ExpertVocabulary,159,80,0.89,0.19
nuclear bomb,ExpertVocabulary,159,126,0.89,0.29
like a baby,InformationComparison,159,152,0.89,0.36
could smell,ConfidenceHedged,159,145,0.89,0.34
authors ',ExpertVocabulary,158,136,0.89,0.32
corporeal,ExpertVocabulary,158,100,0.89,0.23
independent variable,MethodsResultsDiscussion,158,97,0.89,0.23
central nervous system,ExpertVocabulary,158,125,0.89,0.29
regressive,ExpertVocabulary,158,118,0.89,0.28
praxis,ExpertVocabulary,158,80,0.89,0.19
arrangement of,InformationQuantities,158,136,0.89,0.32
can prove,ConfidenceHedged,158,149,0.89,0.35
exporters,CharacterTypes,158,103,0.89,0.24
anglo-american,CharacterTypes,158,97,0.89,0.23
the purpose of this,PurposePlan,158,151,0.89,0.35
real problems,PurposePlan,158,147,0.89,0.34
".
the more",InformationComparison,158,155,0.89,0.36
of the research,PurposePlan,158,141,0.89,0.33
"101 ,",InformationQuantities,158,134,0.89,0.31
weighting,ExpertVocabulary,158,80,0.89,0.19
listed above,ReaderDirectedMetadiscourse,158,148,0.89,0.35
far-fetched,ConfidenceLow,158,148,0.89,0.35
tremendous amount,InformationQuantities,158,151,0.89,0.35
limited number,ExpertVocabulary,158,151,0.89,0.35
coals,ExpertVocabulary,158,119,0.89,0.28
chap .,ReaderDirectedMetadiscourse,158,79,0.89,0.18
hooper,CharacterTypes,158,57,0.89,0.13
neighbors ',CharacterTypes,158,145,0.89,0.34
the friends,CharacterTypes,158,136,0.89,0.32
look as if,InformationComparison,158,150,0.89,0.35
runner-up,CharacterTypes,158,126,0.89,0.29
hotter than,InformationComparison,158,152,0.89,0.36
alter ego,CharacterTypes,158,100,0.89,0.23
i could go on,ReaderDirectedMetadiscourseFP,158,150,0.89,0.35
double-digit,InformationQuantities,158,139,0.89,0.33
rounded up,InformationQuantities,158,150,0.89,0.35
lucifer,ExpertVocabulary,158,96,0.89,0.22
kev,ExpertVocabulary,158,65,0.89,0.15
food chain,ExpertVocabulary,158,133,0.89,0.31
hit man,CharacterTypes,158,82,0.89,0.19
damn sure,ConfidenceHigh,158,139,0.89,0.33
stewardess,CharacterTypes,158,77,0.89,0.18
planning the,PurposePlan,157,151,0.88,0.35
have decided,ConfidenceHigh,157,153,0.88,0.36
can control,ConfidenceHedged,157,153,0.88,0.36
highly educated,CharacterTypes,157,131,0.88,0.31
lord god,CharacterTypes,157,91,0.88,0.21
has claimed,CitationControversy,157,145,0.88,0.34
conceivably,ConfidenceHedged,157,148,0.88,0.35
54 %,InformationQuantities,157,126,0.88,0.29
response rate,MethodsResultsDiscussion,157,106,0.88,0.25
forty-two,InformationQuantities,157,133,0.88,0.31
244,InformationQuantities,157,127,0.88,0.30
hard evidence,Reasoning,157,141,0.88,0.33
raters,CharacterTypes,157,55,0.88,0.13
resembling a,InformationComparison,157,150,0.88,0.35
postmodernist,ExpertVocabulary,157,60,0.88,0.14
may represent,ConfidenceHedged,157,140,0.88,0.33
my study,ReaderDirectedMetadiscourseFP,157,127,0.88,0.30
converging,ExpertVocabulary,157,134,0.88,0.31
single women,CharacterTypes,157,107,0.88,0.25
miner,CharacterTypes,157,88,0.88,0.21
".
likewise",ReaderDirectedMetadiscourse,157,147,0.88,0.34
little-known,ExpertVocabulary,157,148,0.88,0.35
spirals,ExpertVocabulary,157,118,0.88,0.28
", meaning the",Reasoning,157,151,0.88,0.35
they write,CitationAuthority,157,147,0.88,0.34
genealogical,ExpertVocabulary,157,76,0.88,0.18
do know,ConfidenceHigh,157,150,0.88,0.35
painter's,CharacterTypes,157,81,0.88,0.19
alloy,ExpertVocabulary,157,120,0.88,0.28
his identity,CharacterTypes,157,145,0.88,0.34
""" c """,ExpertVocabulary,157,119,0.88,0.28
can possibly,ConfidenceHedged,157,148,0.88,0.35
i can show,ReaderDirectedMetadiscourseFP,157,151,0.88,0.35
store's,ExpertVocabulary,157,132,0.88,0.31
grownups,CharacterTypes,157,119,0.88,0.28
even longer,InformationComparison,157,153,0.88,0.36
oof,ExpertVocabulary,157,118,0.88,0.28
skank,CharacterTypes,157,81,0.88,0.19
five dollars,InformationQuantities,156,136,0.88,0.32
to endorse,PurposePlan,156,133,0.88,0.31
botanical,ExpertVocabulary,156,92,0.88,0.22
perestroika,ExpertVocabulary,156,78,0.88,0.18
propensity to,ExpertVocabulary,156,120,0.88,0.28
seeker,CharacterTypes,156,98,0.88,0.23
were recruited,MethodsResultsDiscussion,156,137,0.88,0.32
".
the study",ExpertVocabulary,156,138,0.88,0.32
topics that,ExpertVocabulary,156,141,0.88,0.33
a teaching,CitationAuthority,156,134,0.88,0.31
social learning,ExpertVocabulary,156,54,0.88,0.13
resembles the,InformationComparison,156,146,0.88,0.34
dsm,ExpertVocabulary,156,50,0.88,0.12
consider to be,CitationControversy,156,153,0.88,0.36
like new,InformationComparison,156,144,0.88,0.34
strategic planning,PurposePlan,156,86,0.88,0.20
layouts,ExpertVocabulary,156,110,0.88,0.26
stoner,CharacterTypes,156,83,0.88,0.19
bride's,CharacterTypes,156,78,0.88,0.18
new novel,ExpertVocabulary,156,88,0.88,0.21
enforcement officers,CharacterTypes,156,119,0.88,0.28
nitrate,ExpertVocabulary,156,59,0.88,0.14
look the same,InformationComparison,156,149,0.88,0.35
it could happen,ConfidenceHedged,156,151,0.88,0.35
new data,MethodsResultsDiscussion,156,135,0.88,0.32
supermodel,CharacterTypes,156,104,0.88,0.24
".
democrats",CharacterTypes,156,131,0.88,0.31
actin,ExpertVocabulary,156,69,0.88,0.16
journal-constitution,ExpertVocabulary,156,113,0.88,0.26
multiplayer,ExpertVocabulary,156,72,0.88,0.17
might end,ConfidenceHedged,155,151,0.87,0.35
neurology,ExpertVocabulary,155,103,0.87,0.24
are investigating,PurposePlan,155,136,0.87,0.32
".
further ,",Reasoning,155,130,0.87,0.30
can lead,ConfidenceHedged,155,148,0.87,0.35
children need,PurposePlan,155,128,0.87,0.30
cross-border,ExpertVocabulary,155,90,0.87,0.21
targets for,PurposePlan,155,141,0.87,0.33
military presence,ExpertVocabulary,155,116,0.87,0.27
assured that,ConfidenceHigh,155,153,0.87,0.36
it is clear,ConfidenceHigh,155,147,0.87,0.34
patient care,ExpertVocabulary,155,99,0.87,0.23
the impact on,Reasoning,155,143,0.87,0.33
markup,ExpertVocabulary,155,90,0.87,0.21
272,InformationQuantities,155,127,0.87,0.30
flight attendants,CharacterTypes,155,82,0.87,0.19
mean age,InformationQuantities,155,106,0.87,0.25
".
regardless of",ReaderDirectedMetadiscourse,155,148,0.87,0.35
kilo,ExpertVocabulary,155,68,0.87,0.16
analyzes,Reasoning,155,139,0.87,0.33
matters in,ExpertVocabulary,155,145,0.87,0.34
trapping,ExpertVocabulary,155,128,0.87,0.30
unwed,ExpertVocabulary,155,81,0.87,0.19
sure how,ConfidenceHigh,155,152,0.87,0.36
their identity,CharacterTypes,155,129,0.87,0.30
is required .,PurposePlan,155,140,0.87,0.33
cross-section,ExpertVocabulary,155,129,0.87,0.30
can ask,ConfidenceHedged,155,142,0.87,0.33
we want a,ReaderDirectedMetadiscourseFP,155,144,0.87,0.34
certainly did,ConfidenceHigh,155,150,0.87,0.35
puritans,CharacterTypes,155,79,0.87,0.18
my intention,PurposePlan,155,148,0.87,0.35
darwinian,ExpertVocabulary,155,98,0.87,0.23
spectroscopy,ExpertVocabulary,155,53,0.87,0.12
dainty,CharacterTypes,155,136,0.87,0.32
alta,ExpertVocabulary,155,69,0.87,0.16
convection,ExpertVocabulary,155,55,0.87,0.13
bowler,CharacterTypes,155,98,0.87,0.23
geothermal,ExpertVocabulary,155,79,0.87,0.18
pathos,ExpertVocabulary,155,126,0.87,0.29
every thing,Reasoning,155,131,0.87,0.31
zeros,InformationQuantities,155,103,0.87,0.24
seem to care,ConfidenceHedged,155,147,0.87,0.34
pubmed,ExpertVocabulary,155,50,0.87,0.12
she showed,CitationAuthority,155,150,0.87,0.35
like a lot,InformationComparison,155,150,0.87,0.35
jane doe,ExpertVocabulary,155,56,0.87,0.13
separatist,CharacterTypes,154,104,0.87,0.24
claimed to,CitationControversy,154,145,0.87,0.34
in table 3,MethodsResultsDiscussion,154,139,0.87,0.33
nonhuman,ExpertVocabulary,154,83,0.87,0.19
have caused,Reasoning,154,143,0.87,0.33
consumer goods,ExpertVocabulary,154,122,0.87,0.29
protectionism,ExpertVocabulary,154,96,0.87,0.22
emperors,CharacterTypes,154,106,0.87,0.25
i discovered that,PurposePlan,154,146,0.87,0.34
may mean,ConfidenceHedged,154,148,0.87,0.35
proper .,ExpertVocabulary,154,138,0.87,0.32
superfund,ExpertVocabulary,154,48,0.87,0.11
the fathers,CharacterTypes,154,110,0.87,0.26
signifying,ReaderDirectedMetadiscourse,154,134,0.87,0.31
other kind,ExpertVocabulary,154,145,0.87,0.34
astrology,ExpertVocabulary,154,96,0.87,0.22
get into this,ReaderDirectedMetadiscourse,154,145,0.87,0.34
musicianship,ExpertVocabulary,154,78,0.87,0.18
young ladies,CharacterTypes,154,116,0.87,0.27
to better understand,MethodsResultsDiscussion,154,142,0.87,0.33
earners,CharacterTypes,154,110,0.87,0.26
union members,CharacterTypes,154,99,0.87,0.23
franciscan,CharacterTypes,154,78,0.87,0.18
going after the,PurposePlan,154,145,0.87,0.34
an analyst,CharacterTypes,154,135,0.87,0.32
there's lots of,ConfidenceHigh,154,149,0.87,0.35
i told you so,ReaderDirectedMetadiscourse,154,140,0.87,0.33
computer systems,ExpertVocabulary,153,129,0.86,0.30
more complete,InformationComparison,153,140,0.86,0.33
premise of,Reasoning,153,144,0.86,0.34
workmen,CharacterTypes,153,110,0.86,0.26
monograph,ExpertVocabulary,153,119,0.86,0.28
".
because of",Reasoning,153,149,0.86,0.35
resulted,Reasoning,153,149,0.86,0.35
284,InformationQuantities,153,118,0.86,0.28
a girl's,CharacterTypes,153,145,0.86,0.34
inevitable that,ConfidenceHigh,153,147,0.86,0.34
aligning,InformationComparison,153,121,0.86,0.28
demonstrably,ConfidenceHigh,153,136,0.86,0.32
268,InformationQuantities,153,120,0.86,0.28
inactivity,ExpertVocabulary,153,109,0.86,0.26
champs,CharacterTypes,153,113,0.86,0.26
".
just as",InformationComparison,153,149,0.86,0.35
only reason,Reasoning,153,150,0.86,0.35
the spectator,CharacterTypes,153,66,0.86,0.15
biota,ExpertVocabulary,153,41,0.86,0.10
were indeed,ConfidenceHigh,153,146,0.86,0.34
kinetic,ExpertVocabulary,153,107,0.86,0.25
shown here,ReaderDirectedMetadiscourse,153,134,0.86,0.31
ventricular,ExpertVocabulary,153,46,0.86,0.11
generative,ExpertVocabulary,153,67,0.86,0.16
fluke,ConfidenceLow,153,129,0.86,0.30
spinal,ExpertVocabulary,153,89,0.86,0.21
registered voters,CharacterTypes,153,107,0.86,0.25
bridesmaids,CharacterTypes,153,95,0.86,0.22
hotshot,CharacterTypes,153,129,0.86,0.30
there is no way to,ConfidenceHigh,152,148,0.85,0.35
".
nonetheless",ReaderDirectedMetadiscourse,152,144,0.85,0.34
his study,ExpertVocabulary,152,136,0.85,0.32
eskimo,CharacterTypes,152,91,0.85,0.21
social system,ExpertVocabulary,152,109,0.85,0.26
religious faith,ExpertVocabulary,152,112,0.85,0.26
are less than,InformationComparison,152,142,0.85,0.33
antagonist,ExpertVocabulary,152,119,0.85,0.28
contrast to the,ReaderDirectedMetadiscourse,152,142,0.85,0.33
to effect,PurposePlan,152,137,0.85,0.32
relatives of,CharacterTypes,152,135,0.85,0.32
253,InformationQuantities,152,124,0.85,0.29
58 %,InformationQuantities,152,117,0.85,0.27
cut-off,ExpertVocabulary,152,119,0.85,0.28
could create,ConfidenceHedged,152,146,0.85,0.34
large and small,ExpertVocabulary,152,144,0.85,0.34
unit's,ExpertVocabulary,152,127,0.85,0.30
liable to,ConfidenceHedged,152,142,0.85,0.33
309,InformationQuantities,152,119,0.85,0.28
246,InformationQuantities,152,134,0.85,0.31
parent-child,ExpertVocabulary,152,55,0.85,0.13
".
children",CharacterTypes,152,139,0.85,0.33
are another,ReaderDirectedMetadiscourse,152,147,0.85,0.34
namesake,CharacterTypes,152,141,0.85,0.33
senora,CharacterTypes,152,42,0.85,0.10
presumptive,Reasoning,152,109,0.85,0.26
the speakers,CharacterTypes,152,125,0.85,0.29
unknowns,PurposePlan,152,136,0.85,0.32
was run,MethodsResultsDiscussion,152,141,0.85,0.33
waldorf,ExpertVocabulary,152,67,0.85,0.16
all the evidence,Reasoning,152,142,0.85,0.33
subspecies,ExpertVocabulary,152,67,0.85,0.16
could produce,ConfidenceHedged,152,143,0.85,0.33
"to be fair ,",ReaderDirectedMetadiscourse,152,150,0.85,0.35
and the fact,ConfidenceHigh,152,145,0.85,0.34
as a sort of,InformationComparison,152,140,0.85,0.33
commodore,CharacterTypes,152,60,0.85,0.14
randomised,ExpertVocabulary,152,69,0.85,0.16
protection act,ExpertVocabulary,152,98,0.85,0.23
a friend's,CharacterTypes,152,149,0.85,0.35
makes sure,ConfidenceHigh,152,145,0.85,0.34
regiments,CharacterTypes,152,68,0.85,0.16
then it will,Reasoning,152,143,0.85,0.33
oncology,ExpertVocabulary,152,101,0.85,0.24
senator's,CharacterTypes,152,124,0.85,0.29
maiden name,CharacterTypes,152,132,0.85,0.31
dealerships,ExpertVocabulary,152,99,0.85,0.23
big sister,CharacterTypes,152,120,0.85,0.28
littlest,InformationComparison,152,96,0.85,0.22
ruler of,CharacterTypes,151,133,0.85,0.31
distinguished from,Reasoning,151,141,0.85,0.33
can best,ConfidenceHedged,151,147,0.85,0.34
for the purposes of,PurposePlan,151,134,0.85,0.31
might expect,ConfidenceHedged,151,145,0.85,0.34
nicaraguan,CharacterTypes,151,62,0.85,0.15
professed,CitationControversy,151,126,0.85,0.29
secretary's,CharacterTypes,151,115,0.85,0.27
unambiguously,ConfidenceHigh,151,125,0.85,0.29
melodramatic,ExpertVocabulary,151,135,0.85,0.32
express a,CitationNeutral,151,146,0.85,0.34
295,InformationQuantities,151,124,0.85,0.29
norse,ExpertVocabulary,151,49,0.85,0.11
teaching methods,MethodsResultsDiscussion,151,105,0.85,0.25
pilot study,ExpertVocabulary,151,100,0.85,0.23
other variables,MethodsResultsDiscussion,151,126,0.85,0.29
predictor variables,MethodsResultsDiscussion,151,57,0.85,0.13
manova,ExpertVocabulary,151,61,0.85,0.14
support system,ExpertVocabulary,151,133,0.85,0.31
applications to,ExpertVocabulary,151,129,0.85,0.30
advisor to,CharacterTypes,151,128,0.85,0.30
according to its,CitationNeutral,151,144,0.85,0.34
287,InformationQuantities,151,117,0.85,0.27
little is known about,PurposePlan,151,134,0.85,0.31
significant other,CharacterTypes,151,124,0.85,0.29
figures on,ConfidenceHigh,151,135,0.85,0.32
cicero,ExpertVocabulary,151,73,0.85,0.17
demonstrate a,ConfidenceHigh,151,136,0.85,0.32
are due to,Reasoning,151,141,0.85,0.33
the facts are,ConfidenceHigh,151,144,0.85,0.34
on target,ConfidenceHigh,151,137,0.85,0.32
their interest,CharacterTypes,151,142,0.85,0.33
creationists,CharacterTypes,151,61,0.85,0.14
".
the people",CharacterTypes,151,142,0.85,0.33
of the play,ExpertVocabulary,151,102,0.85,0.24
renters,CharacterTypes,151,92,0.85,0.22
vignette,ExpertVocabulary,151,81,0.85,0.19
anus,ExpertVocabulary,151,110,0.85,0.26
stranger to,CharacterTypes,151,144,0.85,0.34
untouchable,ExpertVocabulary,151,138,0.85,0.32
it can take,ConfidenceHedged,151,143,0.85,0.33
looser,InformationComparison,151,127,0.85,0.30
counter to,Reasoning,151,141,0.85,0.33
writers ',ExpertVocabulary,151,136,0.85,0.32
larynx,ExpertVocabulary,151,82,0.85,0.19
digger,CharacterTypes,151,69,0.85,0.16
", since she",Reasoning,151,145,0.85,0.34
counsellor,CharacterTypes,151,69,0.85,0.16
i know when,ConfidenceHigh,151,143,0.85,0.33
bourgeoisie,CharacterTypes,150,97,0.84,0.23
phenomenology,ExpertVocabulary,150,70,0.84,0.16
germanic,ExpertVocabulary,150,82,0.84,0.19
in evidence,Reasoning,150,133,0.84,0.31
safe to say,ConfidenceHigh,150,145,0.84,0.34
numerically,ExpertVocabulary,150,111,0.84,0.26
cliches,ExpertVocabulary,150,129,0.84,0.30
pursue their,PurposePlan,150,129,0.84,0.30
are caused by,Reasoning,150,139,0.84,0.33
middlemen,CharacterTypes,150,82,0.84,0.19
increasingly important,PurposePlan,150,139,0.84,0.33
sociocultural,ExpertVocabulary,150,83,0.84,0.19
low-wage,ExpertVocabulary,150,93,0.84,0.22
surrogates,CharacterTypes,150,128,0.84,0.30
the aim of,PurposePlan,150,130,0.84,0.30
237,InformationQuantities,150,118,0.84,0.28
lingo,ExpertVocabulary,150,135,0.84,0.32
267,InformationQuantities,150,121,0.84,0.28
302,InformationQuantities,150,119,0.84,0.28
realty,ExpertVocabulary,150,106,0.84,0.25
410,InformationQuantities,150,123,0.84,0.29
reis,ExpertVocabulary,150,49,0.84,0.11
are familiar with,CharacterTypes,150,145,0.84,0.34
even so,Reasoning,150,131,0.84,0.31
fullness of,ExpertVocabulary,150,106,0.84,0.25
could prove,ConfidenceHedged,150,143,0.84,0.33
flier,CharacterTypes,150,106,0.84,0.25
hermit,CharacterTypes,150,91,0.84,0.21
505,InformationQuantities,150,86,0.84,0.20
latency,ExpertVocabulary,150,58,0.84,0.14
".
analysis",Reasoning,150,58,0.84,0.14
brazilians,CharacterTypes,150,55,0.84,0.13
59 %,InformationQuantities,150,106,0.84,0.25
neo,ExpertVocabulary,150,58,0.84,0.14
hampshire,ExpertVocabulary,150,110,0.84,0.26
leviathan,ExpertVocabulary,150,89,0.84,0.21
necrosis,ExpertVocabulary,150,72,0.84,0.17
twin brother,CharacterTypes,150,100,0.84,0.23
operating officer,CharacterTypes,150,127,0.84,0.30
galley,ExpertVocabulary,150,83,0.84,0.19
was like the,InformationComparison,150,148,0.84,0.35
broken in,ExpertVocabulary,150,141,0.84,0.33
right people,CharacterTypes,150,140,0.84,0.33
seemed to know,ConfidenceHedged,150,144,0.84,0.34
kos,ExpertVocabulary,150,75,0.84,0.18
execs,CharacterTypes,150,124,0.84,0.29
a factor in,Reasoning,149,143,0.84,0.33
trigger the,Reasoning,149,133,0.84,0.31
linguistically,ExpertVocabulary,149,92,0.84,0.22
plurality,ExpertVocabulary,149,92,0.84,0.22
moral obligation,Reasoning,149,105,0.84,0.25
and concluded that,Reasoning,149,134,0.84,0.31
brought about by,Reasoning,149,139,0.84,0.33
home office,ExpertVocabulary,149,129,0.84,0.30
aim at,PurposePlan,149,132,0.84,0.31
the carter,CharacterTypes,149,82,0.84,0.19
high as,InformationComparison,149,144,0.84,0.34
".
the authors",ExpertVocabulary,149,128,0.84,0.30
inferred,Reasoning,149,119,0.84,0.28
guggenheim,ExpertVocabulary,149,93,0.84,0.22
qua,ExpertVocabulary,149,97,0.84,0.23
of the above,ReaderDirectedMetadiscourse,149,130,0.84,0.30
kilograms,InformationQuantities,149,115,0.84,0.27
broadest,InformationComparison,149,143,0.84,0.33
humanists,CharacterTypes,149,59,0.84,0.14
refineries,ExpertVocabulary,149,113,0.84,0.26
".
42",InformationQuantities,149,143,0.84,0.33
347,InformationQuantities,149,99,0.84,0.23
318,InformationQuantities,149,100,0.84,0.23
might want,ConfidenceHedged,149,147,0.84,0.34
he studied,MethodsResultsDiscussion,149,141,0.84,0.33
seem to understand,ConfidenceHedged,149,143,0.84,0.33
comparisons to,InformationComparison,149,132,0.84,0.31
it leads to,ReaderDirectedMetadiscourse,149,142,0.84,0.33
notes of,ExpertVocabulary,149,143,0.84,0.33
61 %,InformationQuantities,149,119,0.84,0.28
slew of,InformationQuantities,149,140,0.84,0.33
dressed as a,InformationComparison,149,124,0.84,0.29
it would be .,ConfidenceHigh,149,147,0.84,0.34
fifty-five,InformationQuantities,149,142,0.84,0.33
as i think,ReaderDirectedMetadiscourseFP,149,145,0.84,0.34
watercolors,ExpertVocabulary,149,108,0.84,0.25
bard,CharacterTypes,149,95,0.84,0.22
